MOFid,metal,linker,logKH_CO2,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_6500000,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
YIKJOT_clean,[Ag],[C][=N][N][=C][N][Ring1][Branch1][N][C][=N][N][=C][Ring1][Branch1],-4.628315323373618,0.3371220842,6.9178039151,9.06042,4.04226,9.06042,1.25445,1709.74,1362.94,22.3665,17.8297,0.6492,0.517517,0.0,Ag,Yes,Ag
YILJUA_clean,[Cd],[OH0][C][=Branch1][C][=O][C][=C][C][=C][Branch1][P][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Ring1][S],-4.208859056689923,0.8981038073000001,7.1900522587,6.47025,4.23928,6.47025,1.06649,1898.08,1779.75,0.0,0.0,0.616,0.577597,0.0,Cd,No, 
YILKAH_clean,[Cd],[OH0][C][=Branch1][C][=O][C][=C][C][=C][Branch1][P][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][S],-4.170019255677786,0.9654365851,8.1168163174,5.89247,4.24175,5.78451,1.04927,1964.15,1871.92,0.0,0.0,0.628,0.598513,0.0,Cd,No, 
YINCOP_clean,[Mn],[OH0][C][=Branch1][C][=O][C][=C][C][Branch1][P][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][=C][C][Branch1][P][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][=C][Ring2][Ring1][#Branch2],-2.174653737437737,3.6050940045,5.1912354471,5.26078,4.28352,5.26078,1.18451,1235.25,1042.84,0.0,0.0,0.5154,0.435117,0.0,Mn,Yes,Mn
YINCUV_clean,[Mn],[C][=C][Branch2][Ring2][=Branch2][C][=C][Branch1][P][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][S][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=Branch1][C][=O][OH0],-2.192337137698534,2.7934024681,3.1071011614,4.80903,3.55203,4.73589,1.40486,557.682,396.966,0.0,0.0,0.407,0.289708,0.0,Mn,Yes,Mn
YINDOQ_clean,[Mn],[C][=C][Branch1][P][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Branch1][P][O][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring1][#Branch2][C][=Branch1][C][=O][OH0],-1.9719047801482044,2.5753950204,2.9181570847,4.43071,3.40597,4.26593,1.3553,678.182,500.394,0.0,0.0,0.4342,0.320372,0.0,Mn,Yes,Mn
YINXIE_clean,[Cu],[C][=Branch2][Branch1][#Branch2][=C][Branch2][Ring2][=C][C][Branch1][=Branch2][C][N][CH1][N][=C][NH0][Ring1][Branch1][=C][Branch2][Ring1][#Branch1][C][=Branch1][N][=C][Ring1][N][C][N][CH1][N][=C][NH0][Ring1][Branch1][C][N][CH1][N][=C][NH0][Ring1][Branch1][C][N][CH1][N][=C][NH0][Ring1][Branch1][C][N][CH1][N][=C][NH0][Ring1][Branch1][C][N][CH1][N][=C][NH0][Ring1][Branch1],-4.247394628892356,0.7662953634,3.520106083,6.16574,4.96395,6.1491,1.27739,1014.53,794.22,0.0,0.0,0.5052,0.395493,0.0,Cu,Yes,Cu
YIPDOR_clean,[Cu],[C][N][Branch1][=Branch1][N][=C][N][=Ring1][Branch1][C][C][=C][C][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][N][N][=C][N][=C][Ring1][Branch1][C][=C][Ring2][Ring1][C],-4.678120001079946,0.307245607,21.3719085551,10.31977,7.54281,10.31977,0.44826,2440.58,5444.55,0.0,0.0,0.7974,1.77888,0.0,Cu,Yes,Cu
YIVNIC_clean,[V][Cu],[C][Branch1][=Branch2][C][=C][C][=N][C][=C][Ring1][=Branch1][=C][C][=N][C][=C][Ring1][N],-0.3598138246141064,2.5976425432,1.850268257,4.61348,3.86544,4.61348,1.60999,548.992,340.991,0.0,0.0,0.3982,0.24733,0.0,"Cu,V",Yes,"Cu,V"
YIVZIO_clean,[Pr],[C][=Branch2][Branch1][=C][=C][C][=C][Branch2][Branch1][Ring1][Si][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][Branch1][S][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][OH0][C][=C][Ring1][=Branch2][C][=C][Ring2][Ring2][C][C][=Branch1][C][=O][OH0],-1.7060609788887873,3.7419934784,6.1717424099,7.47444,4.87179,7.47444,1.1331,1630.87,1439.3,0.0,0.0,0.577,0.509222,0.0,"Pr,Si",Yes,Pr
